"source","candidate","articles","avg_sentiment"
"KING 5","Harrell",1,1
"KIRO 7","Bliss",4,-0.27046332046332
"KIRO 7","Gonzalez",4,-0.75
"KIRO 7","Harrell",1,0.8
"KIRO 7","Wilson",4,1.28032036613272
"KOMO News","Armstrong",8,-0.560827117928511
"KOMO News","Davison",1,-0.425
"KUOW (Weekend Edition Sat)","Wilson",1,1.66666666666667
"Seattle Times (Simple)","Davison",1,0.488054607508532
"Seattle Times (Simple)","Harrell",1,-0.705882352941177
"Seattle Times (Simple)","Nelson",2,-1.25
"Seattle Times (Simple)","Whelan",1,0
"Seattle Times (Simple)","Wilson",4,0.195959595959596
"The Stranger (Web)","Davison",2,-1.21689002759164
"The Stranger (Web)","Gonzalez",1,-0.6
"The Stranger (Web)","Harrell",27,-0.166362037139434
"The Stranger (Web)","Nelson",5,-0.24862012987013
"The Stranger (Web)","Savage",1,0.25
"The Stranger (Web)","Wilson",2,0.592420212765957
